Équipe1;Équipe2;Équipe3;Équipe4;Équipe5;Équipe6;Équipe7;Équipe8;Équipe9;Équipe10;Équipe11;Équipe12;Équipe13;Équipe14;Équipe15;Équipe16;Équipe17;Équipe18;Équipe19;Équipe20;Équipe21;Équipe22;Équipe23;Équipe24;Équipe25;Équipe26;Équipe27;Équipe28
0.3;0.4;0.23;0.4;0.48;0.45;0.4;0.32;0.56;0.4;0.55;0.44;0.4;0.4;0.4;0.56;0.4;0.4;0.4;0.4;0.33;0.3;0.4;0.56;0.4;0.4;0.4;0.47
0.35;0.5;0.6;0.4;0.38;0.6;0.5;0.8;0.7;0.5;0.6;0.54;0.23;0.37;0.5;0.7;0.56;0.49;0.48;0.8;0.45;0.35;0.5;0.7;0.5;0.5;0.5;0.5
0.4;0.6;0.26;0.45;0.4;0.4;0.6;0.7;0.6;0.6;0.69;0.6;0.32;0.36;0.6;0.6;0.62;0.33;0.68;0.7;0.65;0.64;0.54;0.52;0.53;0.71;0.63;0.49
